I0227 21:34:48.791453       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 21:34:48.801794       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.801883       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.802069       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.802174       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.802251       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.802346       1 scale_up.go:437] No pod can fit to eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3
I0227 21:34:48.802429       1 scale_up.go:441] No expansion options
I0227 21:34:48.802606       1 static_autoscaler.go:449] Calculating unneeded nodes
I0227 21:34:48.802743       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-174.ap-northeast-2.compute.internal - no node group config
I0227 21:34:48.802829       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-39.ap-northeast-2.compute.internal - no node group config
I0227 21:34:48.802917       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-85.ap-northeast-2.compute.internal - no node group config
I0227 21:34:48.802997       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-168.ap-northeast-2.compute.internal - no node group config
I0227 21:34:48.803068       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-133.ap-northeast-2.compute.internal - no node group config
I0227 21:34:48.803255       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-200.ap-northeast-2.compute.internal - no node group config
I0227 21:34:48.803343       1 scale_down.go:423] Node ip-172-31-37-93.ap-northeast-2.compute.internal is not suitable for removal - cpu utilization too big (0.634715)
I0227 21:34:48.803480       1 static_autoscaler.go:503] Scale down status: unneededOnly=false lastScaleUpTime=2023-02-22 01:06:24.16122509 +0000 UTC m=+366486.053689406 lastScaleDownDeleteTime=2023-02-24 14:24:51.583444364 +0000 UTC m=+587193.475908686 lastScaleDownFailTime=2023-02-17 19:18:48.020441185 +0000 UTC m=+29.912905494 scaleDownForbidden=false isDeleteInProgress=false scaleDownInCooldown=false
I0227 21:34:48.803577       1 static_autoscaler.go:516] Starting scale down
I0227 21:34:48.803700       1 scale_down.go:868] No candidates for scale down
I0227 21:34:50.247349       1 reflector.go:530] k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:246: Watch close - *v1.Node total 23 items received
I0227 21:34:52.705427       1 node_instances_cache.go:156] Start refreshing cloud provider node instances cache
I0227 21:34:52.705479       1 node_instances_cache.go:168] Refresh cloud provider node instances cache finished, refresh took 9.761µs
I0227 21:34:58.821996       1 static_autoscaler.go:229] Starting main loop
I0227 21:34:58.822742       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 21:34:58.822764       1 filter_out_schedulable.go:132] Filtered out 0 pods using hints
I0227 21:34:58.823783       1 filter_out_schedulable.go:170] 0 pods were kept as unschedulable based on caching
I0227 21:34:58.823800       1 filter_out_schedulable.go:171] 0 pods marked as unschedulable can be scheduled.
I0227 21:34:58.823814       1 filter_out_schedulable.go:82] No schedulable pods
I0227 21:34:58.823831       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-zl8ch is unschedulable
I0227 21:34:58.823839       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-cdcg5 is unschedulable
I0227 21:34:58.823859       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-8zvx8 is unschedulable
I0227 21:34:58.823866       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-f7pns is unschedulable
I0227 21:34:58.823871       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-c4s2m is unschedulable
I0227 21:34:58.823876       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-lxg57 is unschedulable
I0227 21:34:58.823993       1 scale_up.go:364] Upcoming 0 nodes
I0227 21:34:58.825018       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825042       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825065       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825084       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825116       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825131       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825162       1 scale_up.go:437] No pod can fit to eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0
I0227 21:34:58.825234       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825254       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825288       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825309       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825324       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825339       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:58.825393       1 scale_up.go:437] No pod can fit to eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3
I0227 21:34:58.825420       1 scale_up.go:441] No expansion options
I0227 21:34:58.825513       1 static_autoscaler.go:449] Calculating unneeded nodes
I0227 21:34:58.825571       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-85.ap-northeast-2.compute.internal - no node group config
I0227 21:34:58.825592       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-168.ap-northeast-2.compute.internal - no node group config
I0227 21:34:58.825607       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-133.ap-northeast-2.compute.internal - no node group config
I0227 21:34:58.825639       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-200.ap-northeast-2.compute.internal - no node group config
I0227 21:34:58.825654       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-174.ap-northeast-2.compute.internal - no node group config
I0227 21:34:58.825696       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-39.ap-northeast-2.compute.internal - no node group config
I0227 21:34:58.825767       1 scale_down.go:423] Node ip-172-31-37-93.ap-northeast-2.compute.internal is not suitable for removal - cpu utilization too big (0.634715)
I0227 21:34:58.825808       1 static_autoscaler.go:503] Scale down status: unneededOnly=false lastScaleUpTime=2023-02-22 01:06:24.16122509 +0000 UTC m=+366486.053689406 lastScaleDownDeleteTime=2023-02-24 14:24:51.583444364 +0000 UTC m=+587193.475908686 lastScaleDownFailTime=2023-02-17 19:18:48.020441185 +0000 UTC m=+29.912905494 scaleDownForbidden=false isDeleteInProgress=false scaleDownInCooldown=false
I0227 21:34:58.825882       1 static_autoscaler.go:516] Starting scale down
I0227 21:34:58.825947       1 scale_down.go:868] No candidates for scale down
I0227 21:34:58.826531       1 event_sink_logging_wrapper.go:48] Event(v1.ObjectReference{Kind:"Pod", Namespace:"amazon-cloudwatch", Name:"fluent-bit-lxg57", UID:"b800cdc9-1c2f-4d5b-9ae9-edfe139c89ba", APIVersion:"v1", ResourceVersion:"62140607", FieldPath:""}): type: 'Normal' reason: 'NotTriggerScaleUp' pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity
I0227 21:34:58.854535       1 event_sink_logging_wrapper.go:48] Event(v1.ObjectReference{Kind:"Pod", Namespace:"amazon-cloudwatch", Name:"fluent-bit-zl8ch", UID:"66967db2-cb22-48b8-a6d0-41b8d871b74e", APIVersion:"v1", ResourceVersion:"62140596", FieldPath:""}): type: 'Normal' reason: 'NotTriggerScaleUp' pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity
I0227 21:34:58.866587       1 event_sink_logging_wrapper.go:48] Event(v1.ObjectReference{Kind:"Pod", Namespace:"amazon-cloudwatch", Name:"fluent-bit-cdcg5", UID:"20af4e5e-f3d0-4b4a-b3cd-d0c411390900", APIVersion:"v1", ResourceVersion:"62140609", FieldPath:""}): type: 'Normal' reason: 'NotTriggerScaleUp' pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity
I0227 21:34:58.877583       1 event_sink_logging_wrapper.go:48] Event(v1.ObjectReference{Kind:"Pod", Namespace:"amazon-cloudwatch", Name:"fluent-bit-8zvx8", UID:"2ffff585-ab76-4278-823f-1d37f39726bb", APIVersion:"v1", ResourceVersion:"62140602", FieldPath:""}): type: 'Normal' reason: 'NotTriggerScaleUp' pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity
I0227 21:34:58.890034       1 event_sink_logging_wrapper.go:48] Event(v1.ObjectReference{Kind:"Pod", Namespace:"amazon-cloudwatch", Name:"fluent-bit-f7pns", UID:"f47c556f-979f-40f6-8db4-3d17caa89c00", APIVersion:"v1", ResourceVersion:"62140598", FieldPath:""}): type: 'Normal' reason: 'NotTriggerScaleUp' pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity
I0227 21:34:58.900044       1 event_sink_logging_wrapper.go:48] Event(v1.ObjectReference{Kind:"Pod", Namespace:"amazon-cloudwatch", Name:"fluent-bit-c4s2m", UID:"4abb2654-2e41-468a-a137-65dcd9c18652", APIVersion:"v1", ResourceVersion:"62140605", FieldPath:""}): type: 'Normal' reason: 'NotTriggerScaleUp' pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity
I0227 21:35:02.390156       1 reflector.go:530] k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:347: Watch close - *v1.ReplicaSet total 6 items received
I0227 21:35:03.478731       1 reflector.go:530] k8s.io/client-go/informers/factory.go:134: Watch close - *v1.CSINode total 7 items received
I0227 21:35:08.842314       1 static_autoscaler.go:229] Starting main loop
I0227 21:35:08.843288       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 21:35:08.843323       1 filter_out_schedulable.go:132] Filtered out 0 pods using hints
I0227 21:35:08.844555       1 filter_out_schedulable.go:170] 0 pods were kept as unschedulable based on caching
I0227 21:35:08.844585       1 filter_out_schedulable.go:171] 0 pods marked as unschedulable can be scheduled.
I0227 21:35:08.844599       1 filter_out_schedulable.go:82] No schedulable pods
I0227 21:35:08.844620       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-lxg57 is unschedulable
I0227 21:35:08.844628       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-zl8ch is unschedulable
I0227 21:35:08.844634       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-cdcg5 is unschedulable
I0227 21:35:08.844640       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-8zvx8 is unschedulable
I0227 21:35:08.844662       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-f7pns is unschedulable
I0227 21:35:08.844668       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-c4s2m is unschedulable
I0227 21:35:08.845321       1 scale_up.go:364] Upcoming 0 nodes
I0227 21:35:08.846370       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.846409       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.846430       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.846448       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.846480       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.846497       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.846994       1 scale_up.go:437] No pod can fit to eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0
I0227 21:35:08.847091       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.847361       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.847383       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.847400       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.847436       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.847450       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:08.847889       1 scale_up.go:437] No pod can fit to eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3
I0227 21:35:08.847922       1 scale_up.go:441] No expansion options
I0227 21:35:08.848187       1 static_autoscaler.go:449] Calculating unneeded nodes
I0227 21:35:08.848865       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-39.ap-northeast-2.compute.internal - no node group config
I0227 21:35:08.848887       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-174.ap-northeast-2.compute.internal - no node group config
I0227 21:35:08.849219       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-168.ap-northeast-2.compute.internal - no node group config
I0227 21:35:08.849239       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-85.ap-northeast-2.compute.internal - no node group config
I0227 21:35:08.849254       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-200.ap-northeast-2.compute.internal - no node group config
I0227 21:35:08.849270       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-133.ap-northeast-2.compute.internal - no node group config
I0227 21:35:08.849299       1 scale_down.go:423] Node ip-172-31-37-93.ap-northeast-2.compute.internal is not suitable for removal - cpu utilization too big (0.634715)
I0227 21:35:08.849675       1 static_autoscaler.go:503] Scale down status: unneededOnly=false lastScaleUpTime=2023-02-22 01:06:24.16122509 +0000 UTC m=+366486.053689406 lastScaleDownDeleteTime=2023-02-24 14:24:51.583444364 +0000 UTC m=+587193.475908686 lastScaleDownFailTime=2023-02-17 19:18:48.020441185 +0000 UTC m=+29.912905494 scaleDownForbidden=false isDeleteInProgress=false scaleDownInCooldown=false
I0227 21:35:08.849713       1 static_autoscaler.go:516] Starting scale down
I0227 21:35:08.849768       1 scale_down.go:868] No candidates for scale down
I0227 21:35:18.868623       1 static_autoscaler.go:229] Starting main loop
I0227 21:35:18.869523       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 21:35:18.870610       1 filter_out_schedulable.go:132] Filtered out 0 pods using hints
I0227 21:35:18.872374       1 filter_out_schedulable.go:170] 0 pods were kept as unschedulable based on caching
I0227 21:35:18.872392       1 filter_out_schedulable.go:171] 0 pods marked as unschedulable can be scheduled.
I0227 21:35:18.872407       1 filter_out_schedulable.go:82] No schedulable pods
I0227 21:35:18.872425       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-zl8ch is unschedulable
I0227 21:35:18.872432       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-cdcg5 is unschedulable
I0227 21:35:18.872439       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-8zvx8 is unschedulable
I0227 21:35:18.872446       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-f7pns is unschedulable
I0227 21:35:18.872452       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-c4s2m is unschedulable
I0227 21:35:18.872458       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-lxg57 is unschedulable
I0227 21:35:18.873227       1 scale_up.go:364] Upcoming 0 nodes
I0227 21:35:18.874326       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.874354       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.874371       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.874387       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.874401       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.874415       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.878936       1 scale_up.go:437] No pod can fit to eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0
I0227 21:35:18.879034       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.879529       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.879671       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:35:18.879695       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
